w_ch1;w_ch2;w_ch3
8,18E+01;-6,07E+01;0.4882812
6,10E+01;-0.0001025391;0.5493164
7,93E+00;-0.0001298523;0.5493164
8,94E+01;-0.0001348877;0.6866455
8,74E+01;-0.000118103;0.6103516
8,71E+01;-8,06E+01;0.7324219
8,41E+01;-4,58E+01;0.6408691
9,22E+01;-2,32E+01;0.6408691
8,87E+01;1,14E+01;0.6103516
9,60E+01;3,60E+01;0.7324219
9,63E+01;7,03E+01;0.579834
7,86E+01;0.0001106262;0.4730225
6,62E+01;0.0001365662;0.6103516
6,21E+01;0.000144043;0.579834
6,21E+01;9,51E+01;0.4730225
7,34E+01;3,54E+01;0.4577637
7,66E+01;-3,78E+00;0.6408691
9,98E+01;-7,69E+00;0.4119873
0.0001094055;-7,20E+01;0.5493164
0.0001063538;-7,51E+01;0.579834
0.0001068115;-7,51E+01;0.5340576
0.0001109314;-7,77E+01;0.6408691
9,28E+01;-6,99E+01;0.579834
8,29E+01;-5,57E+01;0.7324219
7,71E+01;-1,82E+01;0.6866455
5,65E+01;-2,82E+01;0.6408691
6,55E+00;-5,29E-01;0.579834
7,57E+01;-3,08E+01;0.6103516
8,03E+01;-2,50E+01;0.5493164
8,18E+01;-1,22E+00;0.5950928
6,85E+01;6,71E+00;0.6408691
6,09E+01;7,63E-01;0.5950928
4,47E+01;5,34E+00;0.579834
4,65E+01;3,23E+01;0.6256104
4,55E+01;4,14E+01;0.50354
4,39E+01;4,39E+01;0.4425049
5,60E+01;2,85E+01;0.5187988
4,27E+01;4,75E+01;0.5950928
4,85E+01;5,62E+01;0.4272461
6,94E+01;4,61E+01;0.7476807
7,84E+01;4,65E+01;0.4577637
6,79E+01;5,07E+01;0.5493164
6,50E+01;-4,27E+00;0.6256104
7,93E+00;-5,55E+01;0.5645752
8,54E+01;-2,44E+01;0.5493164
8,07E+01;4,67E+01;0.5645752
6,04E+01;9,81E+01;0.5340576
4,67E+01;0.0001042175;0.5950928
4,29E+00;6,03E+01;0.5950928
4,88E+01;2,85E+01;0.6103516
9,28E+01;6,93E+00;0.6103516
0.0001071167;8,47E+01;0.6408691
9,64E+01;9,40E+01;0.4577637
7,61E+01;5,29E-01;0.4730225
7,95E+01;1,07E+01;0.4577637
9,16E+01;-5,17E+00;0.5493164
8,10E+01;-0.0001045227;0.5645752
7,66E+01;-0.0001193237;0.579834
6,77E+01;-0.0001081848;0.5340576
6,56E+00;-7,61E+01;0.5187988
6,81E+00;-5,34E+01;0.6408691
6,20E+01;-3,98E+01;0.7019043
5,62E+01;-3,11E+01;0.5493164
5,98E+01;-4,29E+00;0.4882812
6,76E+01;-4,15E+01;0.6713867
6,93E+00;-4,23E+01;0.5340576
5,37E+01;-5,28E+01;0.6713867
4,64E+01;-4,43E+01;0.579834
3,20E+01;-2,96E+01;0.579834
2,52E-01;-9,77E+00;0.5950928
2,98E+01;-1,83E+00;0.3814697
4,04E+01;8,09E+00;0.5187988
5,25E+01;7,48E+00;0.5645752
5,78E+01;1,51E+00;0.6256104
6,88E+01;4,27E+01;0.50354
5,80E+00;5,78E+01;0.579834
5,57E+01;9,32E+00;0.7171631
5,74E+01;0.0001281738;0.5187988
5,33E+01;0.0001600647;0.4425049
4,64E+01;0.0001387024;0.5340576
4,55E+01;8,77E+01;0.6561279
6,21E+01;5,36E+01;0.6103516
7,46E+01;2,94E+01;0.5187988
5,78E+01;-1,83E+00;0.7324219
4,64E+01;-5,75E+01;0.6713867
5,13E+01;-9,03E+01;0.4577637
5,87E+01;-9,43E+01;0.6103516
7,28E+01;-8,33E+01;0.5340576
6,97E+01;-7,68E+01;0.6103516
6,93E+00;-7,66E+01;0.7629395
6,13E+01;-6,77E+01;0.5950928
5,69E+01;-5,81E+01;0.4730225
5,36E+01;-4,55E+01;0.7324219
5,72E+01;-4,32E+01;0.5950928
5,78E+01;-3,89E+01;0.6866455
6,16E+01;-2,29E+01;0.6713867
5,89E+01;-1,02E+01;0.6561279
5,69E+01;1,40E+01;0.579834
5,60E+01;3,31E+01;0.5493164
5,20E+01;2,52E-01;0.5645752
4,96E+01;1,80E+01;0.7019043
4,88E+01;3,62E+01;0.5493164
4,71E+01;5,69E+01;0.4882812
4,39E+01;5,29E-01;0.6408691
4,56E+01;4,94E+01;0.6408691
3,91E+00;5,74E+01;0.5187988
3,86E+01;2,18E+01;0.6713867
3,60E+01;-4,12E+00;0.5493164
4,04E+01;-2,55E+01;0.4730225
5,52E+01;-2,76E+01;0.6866455
6,82E+01;-1,46E+01;0.5187988
6,71E+01;-4,71E+01;0.7171631
7,45E+01;-6,97E+01;0.793457
7,74E+01;-6,91E+01;0.6561279
6,74E+01;-5,95E+01;0.5950928
6,65E+01;-3,51E+01;0.579834
6,94E+01;-2,46E+01;0.6866455
6,55E+00;-2,59E+01;0.579834
6,62E+01;-1,60E+01;0.5645752
6,15E+01;-8,85E+00;0.6103516
6,20E+01;-2,29E+00;0.5645752
5,81E+01;-2,14E-01;0.7629395
6,26E+01;-1,07E+00;0.6256104
5,84E+01;3,05E-01;0.5493164
5,94E+01;5,49E+00;0.4119873
5,78E+01;5,95E+00;0.5493164
6,10E+01;4,12E+00;0.7019043
5,62E+01;5,49E+00;0.6103516
5,51E+01;1,98E+00;0.6866455
5,58E+01;1,37E+00;0.6408691
5,31E+01;-3,05E-01;0.7171631
5,25E+01;-1,22E+00;0.6713867
5,19E+01;-1,07E+00;0.6408691
0.0001283264;1,53E-01;0.5493164
0.0001896668;-6,10E-01;0.6713867
0.0002000427;3,20E+00;0.7019043
0.0002001953;5,04E+00;0.7324219
0.0001901245;7,48E+00;0.5950928
0.0001835632;5,19E+00;0.6408691
0.0001715088;5,49E+00;0.5187988
0.000166626;1,68E+00;0.6103516
0.0001556396;1,37E+00;0.6256104
0.0001472473;2,59E+00;0.5645752
0.0001403809;-2,44E+00;0.5493164
0.0001295471;-1,01E+00;0.793457
0.0001277161;-2,01E+00;0.6103516
0.0001217651;-2,85E+01;0.6408691
0.000115509;-2,75E+01;0.6103516
0.0001097107;-2,72E+01;0.6866455
0.0001083374;-2,56E+01;0.5493164
0.0001051331;-2,46E+01;0.579834
0.0001017761;-2,15E+01;0.6256104
9,43E+01;-1,94E+01;0.5645752
9,34E+01;-2,20E+01;0.5493164
8,77E+01;-1,95E+01;0.5645752
8,62E+01;-2,14E+00;0.4730225
8,61E+01;-1,92E+01;0.6103516
7,89E+01;-2,09E+01;0.6256104
8,09E+01;-1,92E+01;0.6408691
8,07E+01;-2,06E+01;0.6561279
7,84E+01;-1,79E+01;0.6561279
7,74E+01;-1,88E+01;0.7324219
7,17E+01;-1,05E+01;0.5645752
7,05E+00;-1,31E+01;0.5340576
6,93E+00;-1,22E+01;0.5493164
6,84E+01;-6,56E+00;0.5340576
6,76E+01;-6,56E+00;0.7019043
6,59E+01;-7,17E+00;0.4730225
6,10E+01;-5,19E+00;0.7019043
6,32E+01;-7,63E+00;0.50354
6,44E+01;-6,41E+00;0.5340576
6,23E+01;-6,56E+00;0.5645752
6,01E+01;-3,66E+00;0.6256104
6,18E+00;-4,58E+00;0.5493164
6,01E+01;-6,10E-01;0.6561279
6,13E+01;3,51E+00;0.579834
5,91E+01;5,04E+00;0.5493164
5,78E+01;5,49E+00;0.6103516
5,91E+01;7,32E+00;0.579834
6,06E+01;6,56E+00;0.50354
6,16E+01;6,56E+00;0.7019043
5,87E+01;8,70E-01;0.4882812
